啊	398
阿	256
埃	128
挨	56
哎	10
唉	9
哀	7
皑	1
癌	23
蔼	1
矮	26
艾	95
碍	15
爱	960
隘	1
鞍	2
氨	8
安	366
俺	60
按	1765
暗	64
岸	45
胺	1
案	243
肮	1
昂	11
盎	1
凹	4
敖	2
熬	53
翱	1
袄	1
傲	19
奥	63
懊	1
澳	290
芭	1
捌	1
扒	18
叭	5
吧	435
笆	1
八	1394
疤	4
巴	926
拔	41
跋	6
靶	16
把	10301
耙	7
坝	19
霸	18
罢	68
爸	22
白	668
柏	21
百	918
摆	459
佰	1
败	142
拜	59
稗	1
斑	5
班	283
搬	209
扳	33
般	368
颁	13
板	53
版	268
扮	11
拌	21
伴	83
瓣	16
半	993
办	2183
绊	4
邦	28
帮	402
梆	1
榜	26
膀	1
绑	22
棒	28
磅	6
蚌	1
镑	7
傍	9
谤	1
苞	6
胞	1
包	384
褒	2
剥	24
薄	133
雹	1
保	391
堡	1
饱	47
宝	86
抱	245
报	858
暴	12
豹	7
鲍	70
爆	21
杯	200
碑	116
悲	18
卑	4
北	340
辈	34
背	219
贝	21
钡	1
倍	758
狈	1
备	89
惫	1
焙	1
被	7146
奔	197
苯	4
本	2116
笨	14
崩	6
绷	17
甭	13
泵	3
蹦	18
迸	3
逼	115
鼻	17
比	3265
鄙	1
笔	516
彼	14
碧	14
蓖	1
蔽	6
毕	111
毙	4
毖	1
币	29
庇	2
痹	8
闭	54
敝	1
弊	19
必	248
辟	85
壁	17
臂	29
避	43
陛	1
鞭	5
边	636
编	143
贬	16
扁	3
便	1697
变	1115
卞	33
辨	31
辩	11
辫	1
遍	238
标	60
彪	75
膘	1
表	147
鳖	9
憋	28
别	304
瘪	8
彬	31
斌	156
濒	2
滨	30
宾	4
摈	1
兵	246
冰	162
柄	13
丙	3
秉	2
饼	8
炳	1
病	465
并	10496
玻	7
菠	1
播	51
拨	169
钵	3
波	206
博	38
勃	8
搏	22
铂	4
箔	1
伯	2
帛	2
舶	1
脖	1
膊	1
渤	1
泊	8
驳	7
捕	20
卜	51
哺	5
补	224
埠	2
不	30314
布	72
步	744
簿	4
部	1366
怖	2
擦	79
猜	19
裁	16
材	11
才	3648
财	97
睬	1
踩	83
采	108
彩	30
菜	347
蔡	375
餐	45
参	51
蚕	6
残	60
惭	2
惨	12
灿	9
苍	2
舱	34
仓	16
沧	1
藏	296
操	94
糙	1
槽	3
曹	468
草	240
厕	12
策	64
侧	33
册	298
测	23
层	427
蹭	9
插	108
叉	4
茬	34
茶	139
查	297
碴	1
搽	1
察	25
岔	2
差	508
诧	1
拆	106
柴	101
豺	1
搀	5
掺	21
蝉	3
馋	14
谗	2
缠	23
铲	36
产	280
阐	1
颤	10
昌	14
猖	1
场	1903
尝	122
常	683
长	1764
偿	8
肠	15
厂	1035
敞	4
畅	77
唱	396
倡	7
超	218
抄	57
钞	3
朝	265
嘲	2
潮	111
巢	23
吵	28
炒	115
车	1087
扯	37
撤	59
掣	7
彻	5
澈	1
郴	2
臣	9
辰	2
尘	13
晨	82
忱	2
沉	59
陈	3235
趁	55
衬	8
撑	68
称	857
城	584
橙	5
成	3033
呈	283
乘	262
程	369
惩	11
澄	3
诚	57
承	12
逞	5
骋	2
秤	37
吃	1447
痴	14
持	329
匙	2
池	41
迟	376
弛	6
驰	17
耻	9
齿	7
侈	1
尺	62
赤	11
翅	7
斥	14
炽	2
充	30
冲	278
虫	40
崇	13
宠	8
抽	78
酬	11
畴	1
踌	1
稠	6
愁	83
筹	46
仇	15
绸	3
瞅	22
丑	33
臭	33
初	1103
出	7495
橱	2
厨	7
躇	1
锄	10
雏	2
滁	1
除	828
楚	47
础	2
储	27
矗	1
搐	1
触	25
处	1268
揣	35
川	93
穿	503
椽	4
传	283
船	297
喘	18
串	91
疮	1
窗	61
幢	119
床	130
闯	275
创	583
吹	203
炊	1
捶	3
锤	20
垂	30
春	323
椿	1
醇	1
唇	3
淳	4
纯	96
蠢	6
戳	13
绰	1
疵	1
茨	1
磁	13
雌	11
辞	42
慈	3
瓷	10
词	115
此	3031
刺	62
赐	13
次	9654
聪	18
葱	9
囱	1
匆	1
从	12825
丛	39
凑	76
粗	58
醋	12
簇	11
促	168
蹿	10
篡	1
窜	25
摧	5
崔	272
催	68
脆	13
瘁	1
粹	2
淬	2
翠	16
村	1258
存	255
寸	46
磋	1
撮	1
搓	21
措	2
挫	11
错	193
搭	197
达	3535
答	299
瘩	1
打	1617
大	14538
呆	74
歹	1
傣	4
戴	485
带	1460
殆	1
代	1006
贷	79
袋	77
待	258
逮	11
怠	2
耽	1
担	107
丹	48
单	269
郸	1
掸	3
胆	14
旦	10
氮	31
但	8150
惮	1
淡	63
诞	1
弹	63
蛋	97
当	2786
挡	45
党	5204
荡	20
档	25
刀	154
捣	7
蹈	9
倒	358
岛	180
祷	2
导	19
到	18289
稻	19
悼	6
道	871
盗	41
德	370
得	5482
的	358151
蹬	19
灯	117
登	342
等	17314
瞪	17
凳	14
邓	2186
堤	48
低	1404
滴	72
迪	2
敌	80
笛	3
狄	6
涤	3
翟	76
嫡	1
抵	207
底	897
地	15342
蒂	1
第	9
帝	11
弟	17
递	48
缔	1
颠	16
掂	6
滇	19
碘	42
点	1792
典	9
靛	1
垫	22
电	7381
佃	1
甸	1
店	330
惦	4
奠	1
淀	1
殿	5
碉	1
叼	3
雕	29
凋	5
刁	25
掉	521
吊	32
钓	32
调	294
跌	230
爹	5
碟	15
蝶	13
迭	19
谍	1
叠	28
丁	606
盯	86
叮	5
钉	31
顶	261
鼎	11
锭	63
定	504
订	127
丢	142
东	511
冬	160
董	715
懂	292
动	317
栋	85
侗	5
恫	1
冻	67
洞	62
兜	17
抖	18
斗	67
陡	34
豆	21
逗	16
痘	1
都	12202
督	3
毒	105
犊	3
独	98
读	822
堵	102
睹	27
赌	27
杜	508
镀	14
肚	14
度	293
渡	49
妒	1
端	149
短	326
锻	1
段	1341
断	312
缎	2
堆	136
兑	134
队	777
对	27688
墩	4
吨	1304
蹲	70
敦	2
顿	155
囤	4
钝	3
盾	39
遁	3
掇	1
哆	1
多	18209
夺	216
垛	4
躲	70
朵	93
跺	3
舵	4
剁	10
惰	3
堕	2
蛾	1
峨	1
鹅	10
俄	1446
额	64
讹	1
娥	1
恶	48
厄	66
扼	4
遏	2
鄂	52
饿	69
恩	35
而	9891
儿	15
耳	63
尔	6
饵	3
洱	1
二	2793
贰	1
发	1095
罚	176
筏	1
伐	22
乏	11
阀	2
法	889
珐	1
藩	1
帆	47
番	221
翻	258
樊	59
矾	1
钒	9
繁	20
凡	282
烦	16
反	1205
返	73
范	298
贩	36
犯	161
饭	227
泛	29
坊	3
芳	182
方	746
肪	1
房	286
防	203
妨	1
仿	27
访	617
纺	14
放	738
菲	143
非	793
啡	1
飞	446
肥	69
匪	7
诽	1
吠	1
肺	31
废	58
沸	1
费	242
芬	11
酚	4
吩	1
氛	1
分	2058
纷	4
坟	18
焚	12
汾	1
粉	17
奋	14
份	1234
忿	1
愤	8
粪	26
丰	94
封	398
枫	21
蜂	7
峰	75
锋	751
风	468
疯	19
烽	3
逢	94
冯	448
缝	45
讽	2
奉	53
凤	20
